FID,STAID,STANAME,ST,HUC,CLASS,FLOW,STAGE,TIME,TIME_UTC,URL,DATUM,COUNT,PERCENTILE,FLOODSTAGE
2959,03086500,Mahoning River at Alliance OH,oh,05030103,0,1.100000000000000,3.550000000000000,2018-07-24 14:00:00,1993-09-05 03:00:00,https://waterdata.usgs.gov/oh/nwis/uv?site_no=03086500,NAD83,52,8.480000000000000,0.000000000000000
2960,03090000,Berlin Lake near Berlin Center OH,oh,05030103,0,0.000000000000000,1020.620000000000000,2018-07-24 14:00:00,2018-07-24 18:00:00,https://waterdata.usgs.gov/oh/nwis/uv?site_no=03090000,NAD83,0,0.000000000000000,1031.300000000000000
2961,03090500,Mahoning River bl Berlin Dam nr Berlin Center OH,oh,05030103,0,279.000000000000000,2.510000000000000,2018-07-24 14:15:00,2018-07-24 18:15:00,https://waterdata.usgs.gov/oh/nwis/uv?site_no=03090500,NAD83,8,88.890000000000001,5.400000000000000
2962,03091000,Milton Reservoir near Pricetown OH,oh,05030103,0,0.000000000000000,948.139999999999990,2018-07-24 14:45:00,2018-07-24 18:45:00,https://waterdata.usgs.gov/oh/nwis/uv?site_no=03091000,NAD83,0,0.000000000000000,950.399999999999980
2963,03091500,Mahoning River at Pricetown OH,oh,05030103,5,221.000000000000000,2.910000000000000,2018-07-24 14:00:00,2018-07-24 18:00:00,https://waterdata.usgs.gov/oh/nwis/uv?site_no=03091500,NAD83,76,70.469999999999999,8.100000000000000
2964,03092090,West Branch Mahoning River near Ravenna OH,oh,05030103,0,14.000000000000000,2.020000000000000,2018-07-24 14:00:00,1993-10-01 03:30:00,https://waterdata.usgs.gov/oh/nwis/uv?site_no=03092090,NAD83,28,81.500000000000000,0.000000000000000
2965,03092450,Michael J Kirwan Reservoir at Wayland OH,oh,05030103,0,0.000000000000000,983.610000000000010,2018-07-24 14:00:00,2018-07-24 18:00:00,https://waterdata.usgs.gov/oh/nwis/uv?site_no=03092450,NAD83,0,0.000000000000000,992.500000000000000
2966,03092460,West Branch Mahoning River at Wayland OH,oh,05030103,0,41.100000000000001,2.220000000000000,2018-07-24 14:15:00,2018-07-24 18:15:00,https://waterdata.usgs.gov/oh/nwis/uv?site_no=03092460,NAD83,8,11.109999999999999,9.600000000000000
2967,03093000,Eagle Creek at Phalanx Station OH,oh,05030103,5,21.500000000000000,4.160000000000000,2018-07-24 14:00:00,2018-07-24 18:00:00,https://waterdata.usgs.gov/oh/nwis/uv?site_no=03093000,NAD83,89,45.950000000000003,9.500000000000000
2968,03094000,Mahoning River at Leavittsburg OH,oh,05030103,5,333.000000000000000,3.090000000000000,2018-07-24 14:15:00,2018-07-24 18:15:00,https://waterdata.usgs.gov/oh/nwis/uv?site_no=03094000,NAD83,51,60.000000000000000,10.000000000000000
